yoruba	english
Tó bá jẹ́ òótọ́, àwọn ààyè-iṣẹ́ nínú ì̀jánu-ìsún ààyè-iṣẹ́ yóò ṣàfihàn àwọn orúkọ àwọnààyè-iṣẹ́. Láì jẹ́ bẹ́ẹ̀ wọn yóò ṣàfihàn àwọn fèrèsé lórí ààyè-iṣẹ́ náà.	If true, the workspaces in the workspace switcher will display the names of the workspaces. Otherwise they will display the windows on the workspace. This setting only works when the window manager is Metacity.
Atọ́nà Tí kò Ṣeé Kọ	Directory not Writable
Ṣẹ̀dá fáìlì tuntun nínú atọ́nà náà	Create new file in the given directory
l:M:S p	l:M:S p
Parí iṣẹ́	Log out
Fi déètì hàn nínú aago	Show date in clock
Chinese Traditional (EUC-TW)	Chinese Traditional (EUC-TW)
Ìpín Fèrèsé	Window Grouping
Ápúlẹ́ẹ̀tì	Applet:
Àwọn fáìlì	<UNK> Files
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.google.com/search?q=<UNK>amp;ie=UTF-8amp;oe=UTF-8
(pẹ̀lú ìrànwọ́ kékeré láti ọ̀dọ́ George)	(with minor help from George)
Ààyè Aṣàfilọ́lẹ̀	Launcher location
Nínú àgbékalẹ̀-ètò Xinerama, o lè ní àwọn pánẹ́ẹ̀lì lórí àpótí ìṣàfihàn kọ̀ọ̀kan. Bọ́tìnì yìí ń tọ́ka sí àpótí ìṣàfihàn lọ́wọ́lọ́wọ́ tí a ti ṣàfihàn pánẹ́ẹ̀lì náà lé lórí.	In a Xinerama setup, you may have panels on each individual monitor. This key identifies the current monitor the panel is displayed on.
A ní láti pààrọ̀ omi náà! (Wo déètì òní)	The water needs changing
Yí àwòrán po lórí àwọn pánẹ́ẹ̀lì òòró	Rotate image on vertical panels
Fikún Dúrọ́wà...	Add to Drawer...
Ìnọ́jà	Shopping
(òfìfo)	(empty)
Sítà̀ì:	Type:
Pa àmì-ìwé tàbí àkọlé tí a yàn jẹ	Delete the selected bookmark or topic
Áíkànnù tí a lò fún bọ́tìnì nǹkan	Icon used for button
"http://www.google.com/search?ie=UTF-8oe=UTF-8q=http://www.google.nl"" and ""http://www.google.nl/search?q=<UNK>"	http://www.google.com
Àwọn ààtò ìṣàkóso àti àwọn ìkúndùn aládàáni	Personal preferences and administration settings
"Mú àtòjọ àtòjọ-ètò inú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìsàmúlò-ètò"" ṣíṣẹ"	"Enable program list in ""Run Application"" dialog"
Yan àmì-àṣírí.	Saved passwords
Aládàáṣe	Automatic
Ìwọ̀n tó kéré jù:	Minimum size:
Fi lẹ́tà kọ̀ǹpútà ránṣẹ́ sí àdírẹ̀sì “<UNK>”	Send an email message to “<UNK>”
a d b Yfriendly timeFeb 12 12:34 am	a I:M p
Fi pamọ́ Lórúkọ	Save As…
Àkójọpọ̀-ẹ̀rì Ara-ẹni	Personal Data
Turkish (ISO-8859-9)	Turkish (ISO-8859-9)
Àwòránẹ̀yìn:	Background image:
Caret Ẹ̀yàn	Selection Caret
Gé	Cut
Arabic (ISO-8859-6)	Arabic (ISO-8859-6)
Ó kùnà láti ki <UNK>: <UNK>	Failed to load <UNK>: <UNK>
Ìparí sáà lọ́wọ́lọ́wọ́	End of current session
Olótùú Àtòjọ-ẹ̀yàn	Menu Editor
Ọ̀tún	Right
Àkóónú Wẹ́ẹ̀bù	Web Content
Ṣẹ̀dá Àṣàfilọ́lẹ̀	Create Launcher
Ó jọ wí pé Epiphany ti jáde láìrò tẹ́lẹ̀ nígbà tí a rọ́ọ̀nù rẹ̀ lẹ́ẹ̀kan. O lè rí àwọn fèrèsé àti táàbù tí o ṣí.	Epiphany appears to have exited unexpectedly the last time it was run. You can recover the opened windows and tabs.
1$s, 2$s	<UNK>, <UNK>
Pánẹ́ẹ̀lì àárín orí ásìsì x	Center panel on x-axis
Ń Bẹ̀rẹ̀	Starting <UNK>
Àwọn ìyípadà tí a lò láti dá àwọn fọ́nrán tí a kò tíì fi lélẹ̀ wà	There are unsubmitted changes to form elements
Àwọn Àmì-àṣírí	Passwords
Epiphany (RDF)	Epiphany (RDF)
Àyè...	Location…
Wá ìṣẹ̀lẹ̀ ìwádìí fọ́nrán tilẹ̀	Find previous occurrence of the search string
A kò ri	Text not found
Ó fi pánẹ́ẹ̀lì pamọ́ sí igun	Automatically hide panel into corner
Ń sọ níp pàtó àwọ̀ ẹ̀yìn fún pánẹ́ẹ̀lì inú ìgúnrégé #RGB.	Specifies the background color for the panel in #RGB format.
Gbogbo àwọn irúfẹ́ tí a ṣàtílẹ́yìn	All supported types
Àwon Ààyè Wúnrẹ̀nÌwé-ẹ̀rí	Certificate Fields
Cyrillic/Russian (IBM-866)	Cyrillic/Russian (IBM-866)
Àwọn Ìṣàmúlò-ètò:	Applications:
Àwọn ẹ̀yàn Awáròyìn Wẹ́ẹ̀bù GNOME	GNOME Web Browser options
Ṣàfikún àmì-ìwé “<UNK>”?	Update bookmark “<UNK>”?
Pa Àkọlé Jẹ	Delete Topic
Yan ìṣàmúlò-ètò láti wòye àpèjúwe rẹ̀.	Select an application to view its description.
Ẹja	Fish
Àwọn àmì-ìwé Galeon/Konqueror	Galeon/Konqueror bookmarks
Fihàn	Show
Àwọn àtòjọ-ètò fún ìráyè ítánẹ́ẹ̀tì bíi wẹ́ẹ̀bù àti lẹ́tà kọ̀ǹpútà	Programs for Internet access such as web and email
Chinese Traditional (Big5-HKSCS)	Chinese Traditional (Big5-HKSCS)
Má Ṣàfikún	Don't Update
150	150
Gbogbogbò	General
Tó bá jẹ́ òótọ́, tí o bá ti ń fe ojú fèrèsé gbe lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́.Láì jẹ́ bẹ́ẹ̀,sún sí ààyè-iṣẹ́ fèrèsé náà.	If true, then when unminimizing a window, move it to the current workspace. Otherwise, switch to the workspace of the window.
Àwọ̀ líle	Solid color
Àwọn Àmì-ìwé	Bookmarks
Tó bá jẹ́ òótọ́, a óò yí àwòrán ẹ̀yìn po tí pánẹ́ẹ̀lì náà bá jẹ́ olóòró.	If true, the background image will be rotated when the panel is oriented vertically.
Yan Gbogbo Wọn	Select All
Yan gbogbo àwọn àmì-ìwé tàbí àyọkà	Select all bookmarks or text
Àwọn àmì-ìwé Epiphany	Epiphany bookmarks
Ààyè fọ́nrán:	Disk space:
Móòdù ìṣàfarawé kọ̀ǹpútà àwòrán	Image animation mode
Vietnamese (VISCII)	Vietnamese (VISCII)
Déètì	Date
Àkọ́lé:	Title:
Àwọn Àwòrán	Image options
Yan àpótí yìí láti rọ́ọ̀nù àṣẹ nínú fèrè̀̀̀̀̀̀sé támínà.	Select this box to run the command in a terminal window.
Fèrèsé Tuntun	New Window
A, B d Y	A B d (<UNK>)
Àwọn ìyítumọ̀	Encodings
Pánẹ́ẹ̀lì Igun Ọ̀tún Tí A Fẹ̀	Right Expanded Edge Panel
Àtòjọ-ètò	Program
Iye àwọnààyè-iṣẹ́	Number of workspaces:
Gbogbo wọn	All
Fi Ojú-iṣẹ́ Hàn	Desktop
Ńlá Díẹ̀Size	X Large
Sítà̀ì:	Style:
Fi kọ́lọ̀mù àdírẹ̀sì nìkan hàn	Show the address column
Àwọn ìdarapọ̀ ìyídà nìkan	Encrypted connections only
Fi àwọn fèrèsé láti inú ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ hàn	Show windows from current workspace
Dídí àwọ̀ ẹ̀yìn	Background color opacity
Tẹ bọ́tìnì yìí láti rọ́ọ̀nù ìṣàmúlò-ètò tí a yàn tàbí àṣẹ inúààyè wúnrẹ̀n àmúwọlé àṣẹ.	Click this button to run the selected application or the command in the command entry field.
Yan wúnrẹ̀nkan láti fikún pánẹ́ẹ̀lì:	Find an item to add to the panel:
Parí iṣẹ́ sáà yìí láti bẹ̀rẹ̀ gẹ́gẹ́ bíi òǹlò mìíràn tàbí kí o pa kọ̀ǹpútà náà	Log out of this session to log in as a different user
Ṣí líǹkì nínú táàbù tuntun	Open link in a new tab
Àwọn Ayò	Games
Tún orúkọ sọ...	Rename…
???	???
"Dáàbòbò kọ̀ǹpútà rẹ lọ́wọ́ ìlò tí kò tọ̀nà1"" (msgctxt: ""panel:showusername"	Protect your computer from unauthorized use
Àwọn àkọlé	Topics
Ọ̀pọ̀ àwọn àbùdá yìí lati tì sí sàlẹ̀	Some of these properties are locked down
Rọ́ọ̀nù pẹ̀lú fáìlì...	Run with file...
Lo àwọn ìrísí-lẹ́tà rẹ	Use own fonts
Pa Parí iṣẹ́ Rẹ́	Cancel
Ẹ̀kọ́	Education
"MirrorPantallas en Espejo"", *not* ""Espejar Pantallas"	could not find a suitable configuration of screens
Ṣàfikún Àmì-ìwé...	Add Bookmark…
Àmì-àṣírí:	Copy Password
Pa àkọlé jẹ “<UNK>”?	Delete topic “<UNK>”?
Orúkọ Òǹlò	User agent
Gbé lórí Àká-irinṣẹ́	Move on Toolbar
Yan gbogbo àwọn líǹkì ìtàn tàbí àyọkà	Select all history links or text
Agbègbè Ìkéde	Notification Area
Àwọn Irinṣẹ́	Tools
Àwọn ayò àti àwọn eré-àṣenọjú	Games and amusements
Àtòjọ ID pánẹ́́ẹ̀lì	Panel ID list
Ó kùnà láti ṣí ìṣàfihàn Ètò Fèrèsé X <UNK>	Failed to open X Window System display <UNK>
1$s, 2$s	1$s: 2$s
Àwọn Àkọsílẹ̀ Àìpẹ̀	Recent Documents
Ṣí fèrèsé ìtàn	Open the history window
Ó kùnà láti ki àwòrán <UNK>	Failed to load applet <UNK>
Ti	Close
Western (Windows-1252)related	Western (Windows-1252)
Ti fèrèsé ìtàn náà	Close the history window
"Níbì tí a ti máà gba kúkì. Àwọn fálù tó lè̀jẹ́ ni ""ibikíbi"", gbàgede lọ́wọ́ĺọ́wọ́"" àti ""àìsí-níbikíbi""."	"Where to accept cookies from. Possible values are ""anywhere"", ""current site"" and ""nowhere""."
Lo àwọn ìrísí-lẹ́tà rẹ	Use GNOME fonts
Rọ́ọ̀nù Ìṣàmúlò-ètò nípa títẹ àṣẹ	Run an application by typing a command or choosing from a list
Gbagbára iṣẹ́ ìdarí JavaScript lórí chrome fèrèsé.	Disable JavaScript's control over window chrome.
Kàn si wá ní:	Contact us at:
"requested"", ""minimummaximum"	none of the selected modes were compatible with the possible modes: <UNK>
Àwọn Mìíràn	Other…
Ibi-ìkọ̀kọ̀	Privacy
Orúkọ Òǹlò	User Name
"Tó bá jẹ́ òótọ́, òǹlò náà lè má gbé ápúlẹ́ẹ̀tì láì jẹ́ pé ó kọ́kọ́ ṣí nǹkan tó ń lo ""Má tìí"" wùnrẹ̀n-àtòjọ-ẹ̀yàn."	"If true, the user may not move the applet without first unlocking the object using the ""Unlock"" menuitem."
Vietnamese (VPS)	Vietnamese (VPS)
Fi àká̀-irinṣẹ́ hàn tàbí kí o fi pamọ́	Show or hide toolbar
Níbo Ni Ẹja Ọ̀dẹ̀ Yẹn Tiwá	From Whence That Stupid Fish Came
Á Parí Iṣẹ́ Ní:	Expires On:
Ṣàyẹ̀wò Sítàì-ṣiìtì...	Edit Stylesheet#x2026;
Pánẹ́ẹ̀lì náà bá ìṣòro pàdé nígbà tó ń ki <UNK>.	The panel encountered a problem while loading <UNK>.
100	100
àwọn písẹ́ẹ̀lì	pixels
Yan gbogbo ojú-ìwé náà	Select the entire page
páálí ìwé <UNK> kì ṣè nkan déédé tàbí amọnà	File <UNK> is not a regular file or directory.
Áíkànnù àṣẹ	Command icon
Lo ìyítumọ̀ tí àkọsílẹ̀ náà sọ ní pàtó	Use the encoding specified by the document
Èdè	Language
<UNK> Ẹja náà, aríran	<UNK> the Fish, the fortune teller
Líǹkì Àmì-ìwé...	Bookmark Link…
Àkópọ̀-ìròyìn Mozilla “<UNK>”	Mozilla “<UNK>” profile
Ìdádúró ìpamọ́-aládàaṣe pánẹ́ẹ̀lì	Panel autohide delay
Orúkọ Tó Wọ́pọ̀:	Common Name:
Lẹ agbàròyìn dúró náà	Paste the clipboard
Darapọ̀ mọ́ sáfà tó jìn	Connect to a remote computer or shared disk
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíi	Save Image As…
"Ìṣàlàyé pánẹ́ẹ̀lì yìí. Àwọn fálù tó lè jẹ́ ni ""òkè"", ""ìsàlẹ̀"", ""òsì"", ""ọ̀tún"". Ní móòdù tí a fẹ̀, bọ́tìnì náà ń sọ ní pàtó igun ojú kọ̀ǹpútà tí pánẹ́ẹ̀lì náà wà lórí ẹ. Nínú móòdù tí a kò fẹ̀ ìyàtọ̀ tó wà láàrin ""òkè"" àti ""ìsàlẹ̀"" pàtàkì díẹ̀ - méjéèjì fihàn pé èyí ni pánẹ́ẹ̀lì oníbùú - ṣùgbọ́n ó ṣì ń ṣòfófói bí ó ṣe yẹ kí àwọn nǹkan pánẹ́ẹ̀lì ṣe rí Bí àpẹẹrẹ, lórí pánẹ́ẹ̀lì ""òkè"" bọ́tìnì àòjọ-ẹ̀yan á ta àtòjọ-ẹ̀yàn rẹ̀ sókè nísàlẹ̀ pánẹ́ẹ̀lì náà. Bẹ́ẹ̀, lórí pánẹ́ẹ̀lì ""ìsàlẹ̀"" a óò ta àtòjọ-ẹ̀yàn náà sókè pánẹ́ẹ̀lì náà.."	"The orientation of the panel. Possible values are ""top"", ""bottom"", ""left"", ""right"". In expanded mode the key specifies which screen edge the panel is on. In un-expanded mode the difference between ""top"" and ""bottom"" is less important - both indicate that this is a horizontal panel - but still give a useful hint as to how some panel objects should behave. For example, on a ""top"" panel a menu button will pop up its menu below the panel, whereas on a ""bottom"" panel the menu will be popped up above the panel."
Ṣẹ̀dà Àdírẹ̀sì Líǹkì	Copy Link Address
Pánẹ́ẹ̀lì Náà	Panel
Àṣìṣe kíkà ìwé <UNK>: <UNK>	Error cannot find file id <UNK>
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì. A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.6 in favour of the 'format' key. The schema is retained for compatibility with older versions.
Àwọn orúkọ àyè-iṣẹ́:	Workspace names:
Orúkọ	Name
Tẹ̀ láti wo kàlẹ́ńdà oṣù	Click to view month calendar
Ààtò-ìgasí Ìwé-ẹ̀rí	Certificate Hierarchy
Wáròyìn wẹ́ẹ̀bù náà	Browse the web
Má pín àwọn fèrèsé rárá	Never group windows
Yọọ́kúrò láti inú àkọlé yìí	Remove from this topic
Fẹ̀ẹ́	Zoom
Àwọn gbàgede	Sites
Parí iṣẹ́ sáà yìí láti bẹ̀rẹ̀ gẹ́gẹ́ bíi òǹlò mìíràn tàbí kí o pa kọ̀ǹpútà náà	Log out <UNK> of this session to log in as a different user
A kò ṣègbékalẹ̀ bọ́tìnì <UNK>, kò lè ki aṣàfilọ̀lẹ̀	Launcher location is not set, cannot load launcher
Pa Àká-irinṣẹ́ Jẹ	Delete Toolbar
Fálù tó jẹmọ́ ipa tó dálé atọ́nà $datadir/pixmaps/ ni èyí. Àwọn ẹ̀ka-atọ́nà àti àwọn orúkọ àwòrán jẹ́ àwọn fálù tó fẹsẹ̀múlẹ̀. Ìyípadà fálù yìí á kan ìbẹ̀rẹ̀ iṣẹ́ sáà tókàn.	This is a relative path value based off the $datadir/pixmaps/ directory. Sub-directories and image names are valid values. Changing this value will effect the next session login.
kò sí orúkọ	No name
a b e	a b e
Ìwọ̀n:	Size:
Gbé àwọn àmì-ìwé lọ sínú fáìlì	Export bookmarks to a file
Ṣí Àwòrán	View Image
Àwọ̀:	Color:
Àwọn ìṣàmúlò-ètò gíráfíìsì	Graphics applications
Ìjáde ipá	Force quit
Ti nǹkan sínú pánẹ́ẹ̀lì	Lock the object to the panel
FÁÌLÌ	FILE
Àtòjọ àwọn ID ápúlẹ́ẹ̀tì pánẹ́ẹ̀lì. ID kọ̀ọ̀kan ń tọ́ka sí nǹkan pánẹ́ẹ̀lì kọ̀ọ̀kan (b.a.aṣàfilọ́lẹ̀, bọ́tìnì iṣẹ́ tàbí àká/bọ́tìnì àtòjọ-ẹ̀yàn). A fi àwọn ààtò fún àwọn nǹkankọ̀ọ̀kan pamọ́ sínú /apps/panel/objects/$(id).	A list of panel object IDs. Each ID identifies an individual panel object (e.g. an applet, launcher, action button or menu button/bar). The settings for each of these objects are stored in /apps/panel/objects/$(id).
Gbé àwọn àmì-ìwé wọlé láti inú fáìlì	Import Bookmarks from File
Yọ táàbù lọ́wọ́lọ́wọ́	Detach current tab
A, B d Y	A, B d Y
Kíki “<UNK>”...	Loading “<UNK>”…
Pípa ìtàn ìwáròyìn náà rẹ́ yóò mú ìpajẹ bá gbogbo àwọn líǹkì ìtàn ráúráú.	Clearing the browsing history will cause all history links to be permanently deleted.
Ìyárasí àfarawé Kọ̀ǹpútà	Animation
Ìwọ̀n Déédéé	Normal Size
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from overview
Kí fáìlì sáà náà	Load the given session file
kò sí URL láti pilẹ síwájú	No URL to launch
Kò lè mú siṣẹ́ <UNK> Àwọn Àlàyé: <UNK>	Unable to execute <UNK> Details: <UNK>
Àwọn róòlù nínú ìjánu-ìsún ààyè-iṣẹ́	Rows in workspace switcher
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíiFrench (France)	Save Image As
Àwọn Àwòrán	Images
Orúkọ láti dá pánẹ́ẹ̀lì mọ̀	Name to identify panel
Pa pánẹ́ẹ̀lì yìí jẹ?	Cannot create initial panel layout.
Thai (TIS-620)	Thai (TIS-620)
Gbogbo àwọn férèmù nínú ìṣàfarawé kọ̀ǹpútà:	Total frames in animation:
Kọ́dínéètì X pánẹ́ẹ̀lì	X co-ordinate of panel
"Ààyè fáìlì àwòrán tí a lò gẹ́gẹ́ bíi áíkànnù fún bọ́tìnì nǹkan náà. bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ ""nǹkan-dúrọ́wà"" tàbí ""nǹkan àtòjọ-ẹ̀yàn"" tí bọ́tìnì áíkànnùàkànṣeìlò jẹ́ òótọ́."	The location of the image file used as the icon for the object's button. If empty, the default icon for the menu will be used.
Á̀mì-àṣírí Òǹlò	Master password needed
kìí ṣe irú nkan láti fi bẹrẹ	Not a launchable item
Yan fáìlì láti ṣàfikún àṣẹ náà...	Choose a file to append to the command...
Gbé àwọn àmì-ìwé láti inú awáròyìn mìíràn tàbí fáìlì àwọn àmì-ìwé	Import bookmarks from another browser or a bookmarks file
Ìṣàlàyé pánẹ́ẹ̀lì	Panel orientation
b d	b d
Ṣàfikún Àtòjọ-ètò Fún Ìbẹ̀rẹ̀	Add Startup Program
Táìlì̀	Tile
Tó bá jẹ́ òótọ́, a óò sọ ìtumọ̀ nǹkan náà ní àjẹmọ́ apá ọ̀tún igun pánẹ́ẹ̀lì (tàbí ìsàlẹ̀ tó bá jẹ́ òòró) náà.	If set to 'end', the position of the object is interpreted relative to the right (or bottom if vertical) edge of the panel.
Àkọ́gbéyẹ̀wò Píríǹtì	Print Preview
Ápúlẹ́ẹ̀tì alábọ̀dé kan fún ìyẹ̀wò pánẹ́ẹ̀lì GNOME-2.0	A simple applet for testing the GNOME panel
URL	URL
Darapọ̀ mọ́ Sáfà...	Connect to Server...
Àtójọ ID nǹkan pánẹ́ẹ̀lì	Panel object ID list
Vietnamese (TCVN)	Vietnamese (TCVN)
Fi Líǹkì Pamọ́ Gẹ́gẹ́ Bíi	Save Link As
Ṣàgbéwọlé fódà:	Download folder:
Tó bá jẹ́ òótọ́, a óò fi pánẹ́ẹ̀lì náà pamọ́ fún ra rẹ̀ sínú igun ojú kọ̀ǹpútà náà nígbà tí atọ́ka náà bá fi agbègbè pánẹ́ẹ̀lì náà sílẹ̀. Gbígbé atọ́ka náà lọ sí igun yẹn lẹ́ẹ̀kan si á fa kí pánẹ́ẹ̀lì náà tún farahàn.	If true, the panel is automatically hidden into a corner of the screen when the pointer leaves the panel area. Moving the pointer to that corner again will cause the panel to re-appear.
Fún àwọn ìtalólobó-irinṣẹ́ lágbára	Enable tooltips
Fi àká-ipò hàn tàbí kí o fi pamọ́	Show or hide statusbar
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì. A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.22 with the use of an internal time configuration tool. The schema is retained for compatibility with older versions.
Dí	H:M (A)
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Tí o bá ti àkọsílẹ̀ náà ní ọ̀nàkọ́nà, wàá sọ ìròyìn náà nù.	If you close the document anyway, you will lose that information.
Wá Èyí Tókàn	Find Next
Áíkànnù:	Location:
"Tó bá jẹ́ òótọ́, ""Àwọn Ìṣàmúlò-ètò Mímọ̀"" tí a tòjọ nínú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìṣàmúlò-ètò""á fẹ̀ nígbà tí a bá ṣí onísọ̀rọ̀gbèsì. Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àtòjọàtòjọ-ètò bá jẹ́ òótọ́."	"If true, the ""Known Applications"" listing in the ""Run Application"" dialog is expanded when the dialog is opened. This key is only relevant if the enableprogramlist key is true."
Àwọn tó dá si:	Contributors:
Sáà Lọ́wọ́lọ́wọ́	Custom Session
Greek (MacGreek)	Greek (MacGreek)
Ṣí líǹkì nínú fèrèsé yìí	Open link in this window
Yípọ̀	Wrapped
Ti fèrèsé àwọn àmì-ìwé	Visibility of the downloads window
Àyọkà Kekeré si	Smaller Text
Sọ ní pàtó IID ápúlẹ́ẹ̀tì tí a fẹ́ kì	Specify an applet IID to load
Kò lè ṣàfihàn ìrànwọ́: <UNK>	Could not display help: <UNK>
Kò lè ṣẹ̀dá aṣàfilọ́lẹ̀	Could not save launcher
Ṣí líǹkì nínú fèrèsé tuntun	Open link in a new window
Dènà Àwọn Àgbéwọlé	Abort Downloads
Ṣàfihàn ìrànwọ́ àwọn àmì-ìwé	Display bookmarks help
Icelandic (MacIcelandic)	Icelandic (MacIcelandic)
Ṣí	Open
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8
Àtòjọ URL tí sọ̀ kalẹ̀ lórí rọ́ọ̀nù onísọ̀rọ̀gbèsì ní ìgúnrégé tí kò tọ̀nà (d) tàbí ìgùnsí (d)	URI list dropped on run dialog had wrong format (d) or length (d)
Tóbi sí	Larger
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from Toolbar
Àṣẹ	Command:
Ṣàfikún Àmììwé...	Add Bookmark…
Àwọn Ìṣàmúlò-ètò	Locations
Àká àtòjọ-ẹ̀yàn àkànṣe	A custom menu bar
Píríǹtì	Print
Ìròyìn àmì-ìwé náà tí a fi hàn nínú òye olótùú náà	The bookmark information shown in the editor view
Cyrillic/Ukrainian (KOI8-U)	Cyrillic/Ukrainian (KOI8-U)
Wòye tàbí kí o tún àwọn àbùdá àmì-ìwé tí a yàn tò	View or modify the properties of the selected bookmark
