yoruba	english
"Ìyítumọ̀ ìpéwọ̀n. Àwọn fálù tó gbà ni: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""ShiftJIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949""."	"Default encoding. Accepted values are: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""ShiftJIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949""."
Irúfẹ́ ìrísí-lẹ́tà ìpéwọ̀n	Default font type
"Irúfẹ́ ìrísí-lẹ́tà ìpéwọ̀n. Àwọn fálù tó lè jẹ́ ni ""serif"" àti ""sans-serif""."	"Default font type. Possible values are ""serif"" and ""sans-serif""."
Ìwọ̀n àkópamọ́ fọ́nrán	Size of disk cache
Ìwọ̀n àkópamọ́ fọ́nrán nínú MB.	Size of disk cache, in MB.
Àwọn èdè	Languages
Àwọn èdè tí a fẹ́ jù, àwọn kóòdù lẹ́tà méjì.	Preferred languages, two letter codes.
Bóyá ká píríǹtì àkọ́lẹ́ ojú-ìwé inú àyọkà òkè-ilà náà	Whether to print the page title in the header
Bóyá ká píríǹtì déètì náà nínú àyọkà ìsàlẹ̀-ilà	Whether to print the page address in the header
Bóyá ká píríǹtì déètì náà nínú àyọkà ìsàlẹ̀-ilà	Whether to print the date in the footer
Bóyá ká píríǹtì déètì náà nínú àyọkà ìsàlẹ̀-ilà	Whether to print the background color
Bóyá ká píríǹtì déètì náà nínú àyọkà ìsàlẹ̀-ilà	Whether to print the background images
Bóyá ká píríǹtì àwọn nọ́ńbà ojú-ìwé (àpapọ̀ x) inú àyọkà ìsàlẹ̀-ilà	Whether to print the page numbers (x of total) in the footer
"Bí a ṣe lè ṣàgbékalẹ̀ àwọn àwòrán aṣàfarawé kọ̀ǹpútà. Àwọn fálù tó lẹ̀ jẹ́ ni ""déédé"", ""lẹ́ẹ̀kan"" àti ""gbagbára iṣẹ́""."	"How to print pages containing frames. Allowed values are ""normal"", ""separately"" and ""selected""."
Fódà àwọn àgbéwọlé	The downloads folder
"Ipà fódà tí a fẹ́ ṣàgbéwọlé àwọn fáìlì sí; tàbí""Àwọn àgbéwọlé"" láti lo fódà àwọn àgbéwọlé ìpéwọ̀n, tàbí ""Ojú-iṣẹ́"" láti lo fódà ojú-iṣẹ́."	"The path of the folder where to download files to; or ""Downloads"" to use the default downloads folder, or ""Desktop"" to use the desktop folder."
Kúkì gbà	Cookie accept
"Níbì tí a ti máà gba kúkì. Àwọn fálù tó lè̀jẹ́ ni ""ibikíbi"", gbàgede lọ́wọ́ĺọ́wọ́"" àti ""àìsí-níbikíbi""."	"Where to accept cookies from. Possible values are ""anywhere"", ""current site"" and ""nowhere""."
Móòdù ìṣàfarawé kọ̀ǹpútà àwòrán	Image animation mode
"Bí a ṣe lè ṣàgbékalẹ̀ àwọn àwòrán aṣàfarawé kọ̀ǹpútà. Àwọn fálù tó lẹ̀ jẹ́ ni ""déédé"", ""lẹ́ẹ̀kan"" àti ""gbagbára iṣẹ́""."	"How to present animated images. Possible values are ""normal"", ""once"" and ""disabled""."
Yan àmì-àṣírí.	Remember passwords
Fàyè gba àwọn ìtasókè	Allow popups
Fàyè gba àwọn gbàgede láti ṣí àwọn fèrèsé tuntun nípa lílo JavaScript (tí a bá fún JavaScript lágbára iṣẹ́).	Allow sites to open new windows using JavaScript (if JavaScript is enabled).
Fún Java lágbára iṣẹ́	Enable Java
Fún JavaScript lágbára iṣẹ́	Enable JavaScript
Wáròyìn pẹ̀lú caret	Browse with caret
Bójútó ipò àìsí lórí wáyà pẹ̀lú Alábòójútó-Alátagbà	Automatically manage offline status with NetworkManager
Ti fèrèsé àwọn àmì-ìwé	Visibility of the downloads window
Ìpínfúnni Fún	Issued To
Orúkọ Tó Wọ́pọ̀:	Common Name:
Àjọ:	Organization:
Àjọ:	Organizational Unit:
Nọ́ńbà Atẹ̀léra:	Serial Number:
Ìpínfúnni Láti Ọwọ́ọ	Issued By
Ìfẹsẹ̀múlẹ̀	Validity
Ìpínfúnni Ní:	Issued On:
Á Parí Iṣẹ́ Ní:	Expires On:
Àwọn ìtẹ̀-ìka ọwọ́	Fingerprints
Ìtẹ̀-ìka ọwọ́ SHA1:	SHA1 Fingerprint:
Ìtẹ̀-ìka ọwọ́ MD5:	MD5 Fingerprint:
Gbogbogbò	General
Ààtò-ìgasí Ìwé-ẹ̀rí	Certificate Hierarchy
Àwon Ààyè Wúnrẹ̀nÌwé-ẹ̀rí	Certificate Fields
Fálù Ààyè Wúnrẹ̀n	Field Value
Àwọn àlàyé	Details
Àkójọpọ̀-ẹ̀rì Ara-ẹni	Personal Data
Àwọn kúkì	Cookies
Fi àmì-àṣírí hàn	Show passwords
Àwọn Àmì-àṣírí	Passwords
Ìyítumọ̀ Àyọkà	Text Encoding
Aládàáṣe	Automatic
Lo ìyítumọ̀ tí àkọsílẹ̀ náà sọ ní pàtó	Use the encoding specified by the document
Lo ìyítumọ̀ mìíràn:	Use a different encoding:
Àwon àgbéwọlé	Downloads
Wá Èyí Tókàn	Sign Text
ÀwọnÌwé-ẹ̀rí	Certificate:
Àmì-àṣírí:	Password:
Wòye Ìwé-ẹ̀rí	View Certificate…
Àwọn Ìkúndùn	Preferences
Àdírẹ̀sì:	Address:
Gbékalẹ̀ sí Ojú-ìwé Lọ́wọ́lọ́wọ́	Set to Current Page
Gbekalẹ̀ sí Ojú-ìwé Òfìfo	Set to Blank Page
Àwọn àgbéwọlé	Downloads
Ṣàgbéwọlé fódà:	Download folder:
Ṣàgbéwọlé àwọn fáìlì náà láládàáṣe kí o sì ṣí wọn	Automatically download and open files
Àkóónú Wẹ́ẹ̀bù	Web Development
Ìwọ̀n tó kéré jù:	Minimum size:
Jẹ́ kí àwọn ojú-ìwé wẹ́ẹ̀bù sọ ní pàtó àwọn ìrísí-lẹ́tà wọn	Let web pages specify their own fonts
Jẹ́ kí àwọn ojú-ìwé wẹ́ẹ̀bù sọ ní pàtó àwon àwọ̀ wọn	Let web pages specify their own colors
Lo sítàì-ṣiìtì àkànṣe	Use custom stylesheet
Ṣàyẹ̀wò Sítàì-ṣiìtì...	Edit Stylesheet…
Àwọn Ìrísí-lẹ́tà & Sítàì	Fonts & Style
Àkóónú Wẹ́ẹ̀bù	Web Content
Fàyè gba àwon fèrèsé ìtasókè	Allow popup windows
Gbà nígbà gbogbo	Always accept
Láti inú àwọn gbàgede tí o bẹ̀wò nìkanOnly from sites you visit	Only from sites you visit
Kò gbà rárá	Never accept
Àwọn Fáìlì Ìgbà Díẹ̀	Temporary Files
Ààyè fọ́nrán:	Disk space:
MB	MB
Parẹ́	Clear
Ibi-ìkọ̀kọ̀	Privacy
Àwọn ìyítumọ̀	Encodings
Ìpéwọ̀n:	Default:
Èdè	Language
Ṣàfikún Èdè	Add Language
Yan èdè kan:	Choose a language:
Àwọn àyọkà ìsàlẹ̀-ilà	Frames
Ṣí àmì-ìwé tí a yàn nínú táàbù tuntun	Only the selected frame
Àwọn àgbéwọlé	Background
Àwọn àyọkà ìsàlẹ̀-ilà	Footers
Àwọn nọ́ńbà ojú-ìwé	Page numbers
Déètì	Date
Àwon àyọkà òkè-ilà	Headers
Àkọ́lé ojú-ìwé	Page title
Àdírẹ̀sì ojú-ìwé	Page address
Fi Àwọn Àgbéwọlé Hàn	Show Downloads
u:02u.02u	u:02u.02u
02u.02u	02u.02u
Dúró díẹ̀	Pause
Tun bẹ̀rẹ̀	Resume
Àìmọ̀	Unknown
A kò rí fáìlì “<UNK>”.	The file “<UNK>” has been downloaded.
Ṣàgbéwọlé Líǹkì<UNK> of <UNK>	Download finished
<UNK> <UNK> of <UNK>	<UNK> <UNK> of <UNK>
Fáìlì “<UNK>” wà. Jọ̀wọ́ gbé kúrò lọ́nà.	The file “<UNK>” has been added to the downloads queue.
Ó kùnà	Download started
Igbéwọlé Kùnàdownload status	Failed
Fá́ìlì	File
	
Tó ṣẹ́kù	Remaining
Fi pamọ́	Save
Ṣàgbéwọlé fáìlì tó ní agbára láti léwu yìí?	Download this potentially unsafe file?
Irúfẹ́ Fáìlì: “<UNK>”. Ó léwú láti ṣí “<UNK>” bó ti jẹ́ wí pé ó ní agbára láti ba àwọn àkọsílẹ̀ rẹ jẹ́ tàbí kó já wọ ibi-ìkọ̀kọ̀ rẹ. Dípò èyí o lè ṣàgbéwọlé rẹ̀.	File Type: “<UNK>”. It is unsafe to open “<UNK>” as it could potentially damage your documents or invade your privacy. You can download it instead.
Ṣí fáìlì yìí?	Open this file?
Irúfẹ́ Fáìlì: “<UNK>”. O lè ṣí “<UNK>” nípa lílo “<UNK>” tàbí kí o fi pamọ́.	File Type: “<UNK>”. You can open “<UNK>” using “<UNK>” or save it.
Ṣàgbéwọlé fáìlì yìí?	Download this file?
Irúfẹ́ Fáìlì: “<UNK>”. O kò ní ìṣàmúlò-ètò láti ṣí “<UNK>”. O lè ṣàgbéwọlé rẹ̀ dípò.	File Type: “<UNK>”. You have no application able to open “<UNK>”. You can download it instead.
Fi Pamọ́ Lórúkọ...	Save As...
A kò lè lo Epiphany báyìí. Ìmúbẹ̀rẹ̀ Mozilla kùnà.	Epiphany can't be used now. Initialization failed.
Fi lẹ́tà kọ̀ǹpútà ránṣẹ́ sí àdírẹ̀sì “<UNK>”	Send an email message to “<UNK>”
Arabic (IBM-864)	Arabic (IBM-864)
Arabic (ISO-8859-6)	Arabic (ISO-8859-6)
Arabic (MacArabic)	Arabic (MacArabic)
Arabic (Windows-1256)	Arabic (Windows-1256)
Baltic (ISO-8859-13)	Baltic (ISO-8859-13)
Baltic (ISO-8859-4)	Baltic (ISO-8859-4)
Baltic (Windows-1257)	Baltic (Windows-1257)
Armenian (ARMSCII-8)	Armenian (ARMSCII-8)
Georgian (GEOSTD8)	Georgian (GEOSTD8)
Central European (IBM-852)	Central European (IBM-852)
Central European (ISO-8859-2)	Central European (ISO-8859-2)
Central European (MacCE)	Central European (MacCE)
Central European (Windows-1250)	Central European (Windows-1250)
Chinese Simplified (GB18030)	Chinese Simplified (GB18030)
Chinese Simplified (GB2312)	Chinese Simplified (GB2312)
Chinese Simplified (GBK)	Chinese Simplified (GBK)
Chinese Simplified (HZ)	Chinese Simplified (HZ)
Chinese Simplified (ISO-2022-CN)	Chinese Simplified (ISO-2022-CN)
Chinese Traditional (Big5)	Chinese Traditional (Big5)
Chinese Traditional (Big5-HKSCS)	Chinese Traditional (Big5-HKSCS)
Chinese Traditional (EUC-TW)	Chinese Traditional (EUC-TW)
Cyrillic (IBM-855)	Cyrillic (IBM-855)
Cyrillic (ISO-8859-5)	Cyrillic (ISO-8859-5)
Cyrillic (ISO-IR-111)	Cyrillic (ISO-IR-111)
Cyrillic (KOI8-R)	Cyrillic (KOI8-R)
Cyrillic (MacCyrillic)	Cyrillic (MacCyrillic)
Cyrillic (Windows-1251)	Cyrillic (Windows-1251)
Cyrillic/Russian (IBM-866)	Cyrillic/Russian (IBM-866)
Greek (ISO-8859-7)	Greek (ISO-8859-7)
Greek (MacGreek)	Greek (MacGreek)
Greek (Windows-1253)	Greek (Windows-1253)
Gujarati (MacGujarati)	Gujarati (MacGujarati)
Gurmukhi (MacGurmukhi)	Gurmukhi (MacGurmukhi)
Hindi (MacDevanagari)	Hindi (MacDevanagari)
Hebrew (IBM-862)	Hebrew (IBM-862)
Hebrew (ISO-8859-8-I)	Hebrew (ISO-8859-8-I)
Hebrew (MacHebrew)	Hebrew (MacHebrew)
Hebrew (Windows-1255)	Hebrew (Windows-1255)
Visual Hebrew (ISO-8859-8)	Visual Hebrew (ISO-8859-8)
Japanese (EUC-JP)	Japanese (EUC-JP)
Japanese (ISO-2022-JP)	Japanese (ISO-2022-JP)
Japanese (Shift-JIS)	Japanese (Shift-JIS)
Korean (EUC-KR)	Korean (EUC-KR)
Korean (ISO-2022-KR)	Korean (ISO-2022-KR)
Korean (JOHAB)	Korean (JOHAB)
Korean (UHC)	Korean (UHC)
Celtic (ISO-8859-14)	Celtic (ISO-8859-14)
Icelandic (MacIcelandic)	Icelandic (MacIcelandic)
Nordic (ISO-8859-10)	Nordic (ISO-8859-10)
Persian (MacFarsi)	Persian (MacFarsi)
Croatian (MacCroatian)	Croatian (MacCroatian)
Romanian (MacRomanian)	Romanian (MacRomanian)
Romanian (ISO-8859-16)	Romanian (ISO-8859-16)
South European (ISO-8859-3)	South European (ISO-8859-3)
Thai (TIS-620)	Thai (TIS-620)
Thai (ISO-8859-11)	Thai (ISO-8859-11)
Thai (Windows-874)	Thai (Windows-874)
Turkish (IBM-857)	Turkish (IBM-857)
Turkish (ISO-8859-9)	Turkish (ISO-8859-9)
Turkish (MacTurkish)	Turkish (MacTurkish)
Turkish (Windows-1254)	Turkish (Windows-1254)
Kóòdù gbogbogbò (UTF-8)	Unicode (UTF-8)
Cyrillic/Ukrainian (KOI8-U)	Cyrillic/Ukrainian (KOI8-U)
Cyrillic/Ukrainian (MacUkrainian)	Cyrillic/Ukrainian (MacUkrainian)
Vietnamese (TCVN)	Vietnamese (TCVN)
Vietnamese (VISCII)	Vietnamese (VISCII)
Vietnamese (VPS)	Vietnamese (VPS)
Vietnamese (Windows-1258)	Vietnamese (Windows-1258)
Western (IBM-850)	Western (IBM-850)
Western (ISO-8859-1)	Western (ISO-8859-1)
Western (ISO-8859-15)	Western (ISO-8859-15)
Western (MacRoman)	Western (MacRoman)
Western (Windows-1252)related	Western (Windows-1252)
Gẹ́ẹ̀sì(US-ASCII)	English (US-ASCII)
Kóòdù gbogbogbò (UTF-16 BE)	Unicode (UTF-16 BE)
Kóòdù gbogbogbò (UTF-16 LE)	Unicode (UTF-16 LE)
Kóòdù gbogbogbò (UTF-32 BE)	Unicode (UTF-32 BE)
Kóòdù gbogbogbò (UTF-32 LE)	Unicode (UTF-32 LE)
Àìmọ̀ (<UNK>)	Unknown (<UNK>)
Gbogbo wọn	All
Àwọn Mìíràn	Others
Àwọn fáìlì agbègbè	Local files
Ojú-ìwé òfìfo	Blank page
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8
Ìtúndarí sí “<UNK>”...	Redirecting to “<UNK>”…
Ìgbé àkójọpọ̀-ẹ̀rí láti “<UNK>”...	Transferring data from “<UNK>”…
Dídúró fún ìgbàṣẹ láti “<UNK>”...	Waiting for authorization from “<UNK>”…
Kíki “<UNK>”...	Loading “<UNK>”…
Kíki...	Loading…
Àwọn fáìlì	<UNK> Files
Àṣìṣe GConf: <UNK>	GConf error: <UNK>
FÁÌLÌ	FILE
Fi <UNK> hàn	Show “<UNK>”
Gbé lórí Àká-irinṣẹ́	Move on Toolbar
Gbé wúnrẹ̀n tí a yàn lọ lórí àká-irinṣẹ́	Move the selected item on the toolbar
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from Toolbar
Yọ wúnrẹ̀n tí a yàn náà kúrò nínu àká-irinṣẹ́ náà	Remove the selected item from the toolbar
Pa Àká-irinṣẹ́ Jẹ	Delete Toolbar
Yọ àká-irinṣẹ́ tí a yàn náà	Remove the selected toolbar
Aṣàpínyà	Separator
Gbogbo àwọn irúfẹ́ tí a ṣàtílẹ́yìn	All supported types
Àwọn ojú-ìwé wẹ́ẹ̀bù	Web pages
Àwọn àwòrán	Images
Gbogbo àwọn fáìlì	All files
Kò lè ṣẹ̀dá atọ́nà ìgbà díẹ̀ nínú “<UNK>”.	Could not create a temporary directory in “<UNK>”.
Fáìlì “<UNK>” wà. Jọ̀wọ́ gbé kúrò lọ́nà.	The file “<UNK>” exists. Please move it out of the way.
Ó kùnà láti ṣẹ̀dá “<UNK>”.	Failed to create directory “<UNK>”.
Atọ́nà “<UNK>” kò ṣeé kọ	Directory “<UNK>” is not writable
O kò ní ìyànda láti ṣẹ̀dá àwọn fáìlì nínú atọ́nà yìí.	You do not have permission to create files in this directory.
Atọ́nà Tí kò Ṣeé Kọ	Directory not Writable
Kò lè ṣẹ̀dà lórí fáìlì tó wà nílẹ̀“<UNK>”	Cannot overwrite existing file “<UNK>”
Fáìlì tó ń jẹ́ orúkọ yìí ti wà nílẹ̀ tẹ́lẹ̀, o kò sì ní ìyànda láti ṣẹ̀dà le lórí.	A file with this name already exists and you don't have permission to overwrite it.
Kò Lè Ṣẹ̀dà Lórí Fáìlì	Cannot Overwrite File
Kò lè ṣàfihàn ìrànwọ́: <UNK>	Could not display help: <UNK>
Àwọn Fèrèsé Ìtasókè	Popup Windows
